"food_id"	"fdgrp_id"	"desc"	"food_group"	"nutrient_id"	"nutrient_value"	"units"	"nutrient"	"seq"	"amount"	"measure_desc"	"grams"	"nutrients_per_gram"	"nutrients_per_serving"
"101"	"6057"	"600"	"CAMPBELL'S RED&WHITE,CHICK BROTH,COND"	"Soups, Sauces, and Gravies"	"208"	16	"kcal"	"Energy"	1	1	"serving 1/2 cup"	124	0.16	19.84
"102"	"6058"	"600"	"CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	1.59	"g"	"Protein"	1	1	"serving 1/2 cup"	126	0.0159	2.0034
"103"	"6058"	"600"	"CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	0.79	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	126	0.0079	0.9954
"104"	"6058"	"600"	"CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	7.94	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	126	0.0794	10.0044
"105"	"6058"	"600"	"CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	48	"kcal"	"Energy"	1	1	"serving 1/2 cup"	126	0.48	60.48
"106"	"6082"	"600"	"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	2.38	"g"	"Protein"	1	1	"serving 1/2 cup"	126	0.0238	2.9988
"107"	"6082"	"600"	"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	1.98	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	126	0.0198	2.4948
"108"	"6082"	"600"	"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	11.9	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	126	0.119	14.994
"109"	"6082"	"600"	"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	71	"kcal"	"Energy"	1	1	"serving 1/2 cup"	126	0.71	89.46
"110"	"6084"	"600"	"CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	2.38	"g"	"Protein"	1	1	"serving 1/2 cup"	126	0.0238	2.9988
"111"	"6084"	"600"	"CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	0.79	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	126	0.0079	0.9954
"112"	"6084"	"600"	"CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	11.9	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	126	0.119	14.994
"113"	"6084"	"600"	"CAMPBELL'S RED & WHITE,CHICK VEG SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	63	"kcal"	"Energy"	1	1	"serving 1/2 cup"	126	0.63	79.38
"114"	"6091"	"600"	"CAMPBELL'S RED & WHITE,BF BROTH,COND"	"Soups, Sauces, and Gravies"	"203"	2.42	"g"	"Protein"	1	1	"serving 1/2 cup"	124	0.0242	3.0008
"115"	"6091"	"600"	"CAMPBELL'S RED & WHITE,BF BROTH,COND"	"Soups, Sauces, and Gravies"	"204"	0	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	124	0	0
"116"	"6091"	"600"	"CAMPBELL'S RED & WHITE,BF BROTH,COND"	"Soups, Sauces, and Gravies"	"205"	0.81	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	124	0.0081	1.0044
"117"	"6091"	"600"	"CAMPBELL'S RED & WHITE,BF BROTH,COND"	"Soups, Sauces, and Gravies"	"208"	12	"kcal"	"Energy"	1	1	"serving 1/2 cup"	124	0.12	14.88
"118"	"6097"	"600"	"CAMPBELLS RED & WHITE,BF CONSOMME,COND"	"Soups, Sauces, and Gravies"	"203"	3.23	"g"	"Protein"	1	1	"serving 1/2 cup"	124	0.0323	4.0052
"119"	"6097"	"600"	"CAMPBELLS RED & WHITE,BF CONSOMME,COND"	"Soups, Sauces, and Gravies"	"204"	0	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	124	0	0
"120"	"6097"	"600"	"CAMPBELLS RED & WHITE,BF CONSOMME,COND"	"Soups, Sauces, and Gravies"	"205"	0.81	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	124	0.0081	1.0044
"121"	"6097"	"600"	"CAMPBELLS RED & WHITE,BF CONSOMME,COND"	"Soups, Sauces, and Gravies"	"208"	16	"kcal"	"Energy"	1	1	"serving 1/2 cup"	124	0.16	19.84
"122"	"6117"	"600"	"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND"	"Soups, Sauces, and Gravies"	"203"	6.25	"g"	"Protein"	1	1	"serving 1/2 cup"	128	0.0625	8
"123"	"6117"	"600"	"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND"	"Soups, Sauces, and Gravies"	"204"	2.34	"g"	"Total lipid (fat)"	1	1	"serving 1/2 cup"	128	0.0234	2.9952
"124"	"6117"	"600"	"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND"	"Soups, Sauces, and Gravies"	"205"	19.53	"g"	"Carbohydrate, by difference"	1	1	"serving 1/2 cup"	128	0.1953	24.9984
"125"	"6117"	"600"	"CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND"	"Soups, Sauces, and Gravies"	"208"	125	"kcal"	"Energy"	1	1	"serving 1/2 cup"	128	1.25	160
